problem_id,language,revision,solution,link,date_time,title,difficulty,difficulty_category,attempts,completion_count,author,tags,published_at,category,total_stars,vote_score,issues,suggestions
58ce8725c835848ad6000007,Shell,1,"#!/bin/bash

pi=$1

w=$2

pf=$3



echo ""$w*(100-$pi)/(100-$pf)"" | bc",https://www.codewars.com/kata/58ce8725c835848ad6000007,2023-04-08 15:13:48.626,Drying Potatoes,7 kyu,white,62954,9461,g964,"['Fundamentals', 'Puzzles']",2017-03-19T13:30:31.186Z,reference,295,522,2,7
56bc28ad5bdaeb48760009b0,Shell,1,"function removeChar() {

  local str=$1

  echo ""${str:1:-1}""

}

removeChar $1",https://www.codewars.com/kata/56bc28ad5bdaeb48760009b0,2023-03-27 11:00:44.662,Remove First and Last Character,8 kyu,white,470694,216076,Steadyx,"['Strings', 'Fundamentals']",2016-02-11T21:14:31.636Z,reference,1191,13257,3,1
59bfe5f15227ddf81900007b,Shell,1,ls -t | head -n 1,https://www.codewars.com/kata/59bfe5f15227ddf81900007b,2023-04-08 15:20:55.441,Return the latest modified file,7 kyu,white,740,327,ddellaquila,['Fundamentals'],2017-09-18T15:38:39.371Z,reference,5,99,1,0
582cb0224e56e068d800003c,Shell,1,"def litres(time):

    return (time * 0.5)//1",https://www.codewars.com/kata/582cb0224e56e068d800003c,2023-04-17 18:06:43.289,Keep Hydrated!,8 kyu,white,297590,155844,paulrichard,"['Algorithms', 'Mathematics', 'Fundamentals']",2016-11-16T19:47:07.378Z,reference,738,8784,0,3
563a631f7cbbc236cf0000c2,Shell,1,"position=$1

roll=$2

# your code here

move()  {

  echo $((position + 2 * roll))

}



move",https://www.codewars.com/kata/563a631f7cbbc236cf0000c2,2023-03-31 06:07:28.588,Grasshopper - Terminal game move function,8 kyu,white,62662,45039,danleavitt0,['Fundamentals'],2015-11-07T17:40:01.344Z,reference,152,3129,0,4
582cd9033c1acf1d45000052,Shell,1,"#!/bin/bash



countToTwenty() {

  for i in $(seq 1 20); do

    echo ""Count: $i""

  done

}



countToTwenty",https://www.codewars.com/kata/582cd9033c1acf1d45000052,2023-03-31 06:10:18.776,Bash Basics - While Loop,8 kyu,white,4657,1941,user5196477,['Fundamentals'],2016-11-16T22:09:07.401Z,reference,15,293,2,0
582cb0224e56e068d800003c,Shell,2,"#!/bin/bash

time=$1

# The fun begins here.

echo ""$(echo ""scale=0; $time*0.5/1"" | bc)""",https://www.codewars.com/kata/582cb0224e56e068d800003c,2023-04-08 14:49:00.663,Keep Hydrated!,8 kyu,white,297590,155844,paulrichard,"['Algorithms', 'Mathematics', 'Fundamentals']",2016-11-16T19:47:07.378Z,reference,738,8784,0,3
57a0e5c372292dd76d000d7e,Shell,1,"#!/bin/bash

repeat=$1

string=$2



i=1

concat_str=""""

while [ $i -le $repeat ]

do

  concat_str=$concat_str$string

  i=$((i+1))

done



echo $concat_str",https://www.codewars.com/kata/57a0e5c372292dd76d000d7e,2023-03-27 12:31:12.252,String repeat,8 kyu,white,453521,227209,wichu,"['Fundamentals', 'Strings']",2016-08-02T18:26:32.109Z,reference,1289,12791,3,2
51f2b4448cadf20ed0000386,Shell,1,"#!/bin/bash



#code here   input args 1,out the result

string=""$1""

echo ""${string%%#*}""",https://www.codewars.com/kata/51f2b4448cadf20ed0000386,2023-04-10 16:53:32.655,Remove anchor from URL,7 kyu,white,83925,32983,jhoffner,"['Regular Expressions', 'Strings', 'Fundamentals']",2013-07-26T18:05:22.863Z,reference,293,2761,3,3
58261acb22be6e2ed800003a,Shell,1,"#!/bin/bash

length=$1

width=$2

height=$3



volume=$(echo ""$length * $width * $height"" |bc)



echo $volume",https://www.codewars.com/kata/58261acb22be6e2ed800003a,2023-03-29 09:01:36.238,Volume of a Cuboid,8 kyu,white,97217,72386,user5196477,"['Geometry', 'Fundamentals', 'Mathematics']",2016-11-11T19:23:58.296Z,reference,216,3600,2,1
55cb632c1a5d7b3ad0000145,Shell,1,"#!/bin/bash

n=$1



#code here

if [[ $n -ge 10 ]]; then

  echo ""Great, now move on to tricks""

else

  echo ""Keep at it until you get it""

fi",https://www.codewars.com/kata/55cb632c1a5d7b3ad0000145,2023-03-31 06:00:33.014,Keep up the hoop,8 kyu,white,98551,52744,Tam Borine,['Fundamentals'],2015-08-12T15:15:56.361Z,reference,142,4035,5,4
554e4a2f232cdd87d9000038,Shell,1,"#!/bin/sh



echo $1 | tr ""TACG"" ""ATGC""",https://www.codewars.com/kata/554e4a2f232cdd87d9000038,2023-04-22 16:05:19.947,Complementary DNA,7 kyu,white,438629,180392,JustyFY,"['Strings', 'Fundamentals']",2015-05-09T18:11:08.627Z,reference,2070,12998,3,2
56541980fa08ab47a0000040,Shell,1,"#!/bin/bash

printerError() {

    echo $(echo $1 | grep -o [^a-m] | wc -l)""/""${#1}

}

printerError $1",https://www.codewars.com/kata/56541980fa08ab47a0000040,2023-04-23 09:51:29.146,Printer Errors,7 kyu,white,368693,124158,g964,['Fundamentals'],2015-11-24T08:02:08.936Z,reference,1390,9492,2,1
5a03b3f6a1c9040084001765,Shell,1,"n=$1

echo $(( ($n - 2) * 180 ))",https://www.codewars.com/kata/5a03b3f6a1c9040084001765,2023-04-08 15:24:45.419,Sum of angles,7 kyu,white,52435,27669,DemonKing,"['Geometry', 'Fundamentals']",2017-11-09T01:48:38.732Z,reference,157,1830,2,0
55a70521798b14d4750000a4,Shell,1,"#!/bin/bash

#your code here

echo ""Hello, $1 how are you doing today?""",https://www.codewars.com/kata/55a70521798b14d4750000a4,2023-03-27 10:22:19.563,Returning Strings,8 kyu,white,264902,152319,Aweson1,"['Strings', 'Fundamentals']",2015-07-16T01:30:45.770Z,reference,469,7911,0,1
